Warehouse,Material,Value
KDC_R,10213870,12832.0
KDC_R,10215080,2003.5
KDC_R,10215082,16450.0
KDC_R,10216200,26885.5
KDC_R,10223975,39477.5
KDC_R,10224493,19067.5
KDC_R,10224526,2551.5
KDC_R,10224564,2277.0
KDC_R,10224590,13268.0
KDC_R,10224626,8480.0
KDC_R,10225098,1135.0
KDC_R,10225861,30339.0
KDC_R,10225862,235594.5
KDC_R,10226039,17341.0
KDC_R,10231583,30666.0
KDC_R,10231651,14230.0
KDC_R,10235845,13735.5
KDC_R,10235846,3815.0
KDC_R,10236901,661.5
KDC_R,10240140,4357.0
KDC_R,10240151,17736.0
KDC_R,10240181,7231.5
KDC_R,10240187,31611.5
KDC_R,10240591,877.5
KDC_R,10240596,2616.0
KDC_R,10242244,684.0
KDC_R,10242259,661.5
KDC_R,10242459,118771.0
KDC_R,10242662,847.5
KDC_R,10242679,661.5
KDC_R,10246447,661.5
KDC_R,10247692,38654.0
KDC_R,10248405,1713.5
KDC_R,10250464,54619.0
KDC_R,10252750,13530.5
KDC_R,10252926,661.5
KDC_R,11003059,42962.5
KDC_R,11004892,724.5
KDC_R,11005596,721.0
KDC_R,11008082,734.0
KDC_R,11008092,661.5
KDC_R,11020776,888.5
UPS_A,4413,227.0
UPS_A,8527,1324.5
UPS_A,10127533,506.5
UPS_A,10127583,230.5
UPS_A,10128530,227.0
UPS_A,10169762,542.0
UPS_A,10193224,993.0
UPS_A,10193329,929.5
UPS_A,10199637,5229.0
UPS_A,10202719,13618.5
UPS_A,10202777,808.0
UPS_A,10202938,2670.0
UPS_A,10206065,346.5
UPS_A,10206187,236.0
UPS_A,10207835,1066.5
UPS_A,10207836,436.5
UPS_A,10210896,391.0
UPS_A,10213162,269.5
UPS_A,10213754,251.5
UPS_A,10215579,16450.5
UPS_A,10219994,480.0
UPS_A,10227547,6273.5
UPS_A,10230900,256.0
UPS_A,10233000,227.0
UPS_A,10238111,1136.5
UPS_A,10238766,227.0
UPS_A,10252222,506.5
